,precision,recall,f1-score,support
ABORT,0.9748148148148148,0.9777117384843982,0.9762611275964391,673.0
FAIL,0.9609375,0.9559585492227979,0.9584415584415584,386.0
PASS,1.0,1.0,1.0,662.0
accuracy,0.9814061592097618,0.9814061592097618,0.9814061592097618,0.9814061592097618
macro avg,0.9785841049382716,0.9778900959023987,0.9782342286793325,1721.0
weighted avg,0.9813900321733703,0.9814061592097618,0.9813958050150176,1721.0
