test_case,predicted_probability,priority_score,risk_level,top_features
tc_conf_ptp-oc_mfg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99980813,17.996546387672424,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_017,0.99980813,17.996546387672424,HIGH,failure_rate:0.7308;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980813,17.996546387672424,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99980813,17.996546387672424,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.99980813,17.996546387672424,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99980813,17.996546387672424,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_018,0.99980813,17.996546387672424,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99980813,17.996546387672424,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980813,17.996546387672424,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.99980813,17.996546387672424,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_018,0.99980813,17.996546387672424,HIGH,failure_rate:0.8571;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9998079,17.996542096138,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9998079,17.996542096138,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_011,0.99980766,17.996537804603577,HIGH,failure_rate:0.6923;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_012,0.99980766,17.996537804603577,HIGH,failure_rate:0.4583;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9998073,17.99653136730194,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.9998072,17.99652922153473,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.9998072,17.99652922153473,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.9998066,17.99651849269867,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.9998066,17.99651849269867,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.9998066,17.99651849269867,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9998056,17.996501326560974,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_mtg_006,0.9998056,17.996501326560974,HIGH,failure_rate:0.8235;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_001,0.9998056,17.996501326560974,HIGH,failure_rate:0.8148;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9998056,17.996501326560974,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.9998053,17.99649488925934,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.9998048,17.99648630619049,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.9998048,17.99648630619049,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9998047,17.99648416042328,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_015,0.9998047,17.99648416042328,HIGH,failure_rate:0.3714;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_004,0.9998047,17.99648416042328,HIGH,failure_rate:0.3667;time_since_last_failure:0.0
