timestamp,dut,test_case_id,status,error_message
,E bit,Duration  Field and Sequence Number).	admin	2024-10-28 17:31:01	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-10-28 17:45:06	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,1396,dtmf_check_pbx,,*
,E bit,Duration  Field and Sequence Number).	admin	2024-10-29 11:39:25	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-10-29 11:44:18	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-10-29 15:54:36	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-10-29 17:23:16	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-10-29 17:40:23	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-04 12:09:29	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-04 12:13:46	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-12 10:50:02	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-12 12:30:31	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-13 10:53:38	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-13 11:03:43	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-13 11:13:28	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-13 11:17:36	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-22 13:07:22	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-22 13:10:57	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-22 13:16:22	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-11-22 13:24:50	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 12:58:45	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 13:39:44	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-12-05 13:43:09	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
